Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_stat	deseq2_pvalue	deseq2_padj	bayseq_library_922	bayseq_library_924	bayseq_library_926	bayseq_library_928	bayseq_library_931	bayseq_library_933	bayseq_library_921	bayseq_library_923	bayseq_library_925	bayseq_library_927	bayseq_library_930	bayseq_library_932	bayseq_likelihood	bayseq_FDR	bayseq_NA	bayseq_NA	
DPEP1	47.2724	22.813	-1.05114	-1.86445	5e-05	0.0185047	0.110999208929111	-4.01064008511593	1	1	1.98120341077511	0.0509539048977536	0.55209864854087	0.0922913052448482	0.926466596296869	NA	2	0	5	5	0	2	4	0	6	2	2	0	0.00782606481143932	2>1	0.965648679292314	1	
LOC101747529	52.0236	19.3552	-1.42645	-2.62065	0.00015	0.0459058	-1.1514671711545	-5.03682583265809	0.999999999999999	1	0.047913283791791	-0.142287264027584	0.292695399084232	-0.486127436484359	0.62687681533293	NA	0	0	0	1	0	0	0	0	0	0	0	0	0.0343899656981508	1>2	0.887856929104725	1	
MGST2	179.935	96.482	-0.899142	-1.72014	5e-05	0.0185047	0.375449499035518	-3.75808218149298	0.638546592375091	1	2.85269433068291	0.26848183945201	0.532158181774664	0.504515102176322	0.613899452318409	NA	2	0	3	6	5	1	6	2	0	2	3	6	0.00777746416334566	2>1	0.965696513118592	1	
ABHD5	14.7952	16.6434	0.169816	0.323704	0.42535	0.999753	-4.82883145718703	-4.17534711395407	7.46750968334847e-05	0.0368424361652867	1.77484778452186	-1.27675443096999	0.521618614087046	-2.44767804769507	0.0143780066997712	NA	9	7	0	0	0	4	0	0	0	0	0	0	0.649927961064079	1>2	0.198891257793566	0.999924686346028	
WDFY1	18.3671	21.9184	0.255018	0.514648	0.2069	0.999753	-4.86251466183101	-4.15892894560993	5.12860123249274e-05	0.0287714529142843	1.86697401530789	-1.24692803638801	0.518618402548848	-2.4043266306397	0.0162022893808334	NA	8	10	0	0	2	0	0	0	0	0	0	0	0.624596746673818	1>2	0.210439364452097	0.999981014103893	
LOC415662	14.0992	3.43025	-2.03922	-2.33914	5e-05	0.0185047	0.545236759299771	-2.94699184837706	0.325850530649968	1	6.24112628396787	0.383671321781495	0.538441735819142	0.712558660033678	0.476118900536821	0.919319302387356	3	0	5	26	6	0	2	5	3	28	4	5	0.00797144328864493	2>1	0.96543375496165	1	
LOC101750112	0.167254	0.522682	1.64389	0	1	1	-4.09740168104211	-3.88065983844222	2.92383715670955e-05	0.0222608430381194	2.35941634866498	-1.66619063628944	0.551577684717929	-3.0207723815758	0.00252130819063364	NA	1	1	0	6	19	4	0	0	1	0	0	0	0.494588603410994	1>2	0.337517795643642	1	
ZNF532	0.209972	0	-inf	0	1	1	5.48196839637183	-3.04721992702448	1.95707431919345e-10	8.34418206731318e-07	5.5409007218143	0.408910489840673	0.369054611094872	1.10799452858091	NA	NA	0	0	0	1	0	0	0	0	84	0	0	0	0.294237493257561	2>1	0.536941179387578	1	
TMX4	13.8569	15.1722	0.130823	0.25758	0.5316	0.999753	-5.12799748125585	-4.02499356051505	1.23572840820264e-05	0.0146351434478133	2.12113082402425	-1.70975185400275	0.5463913770116	-3.12917063836909	0.00175300474929197	NA	10	7	3	6	0	0	0	0	0	0	0	0	0.874796046021504	1>2	0.0532402270318861	0.516254418243501	
LOC425215	7.87058	8.8339	0.166581	0.302774	0.4753	0.999753	-4.73921706922162	-4.21860840385235	0.000109682940763807	0.0465862222845864	1.58097737687092	-1.55204870420832	0.541613782234101	-2.86560046128494	0.00416219185754951	NA	8	3	4	5	0	0	0	0	0	0	0	0	0.812382950935253	1>2	0.0865728446764213	0.813370564864253	
KIAA1704	16.8029	16.1388	-0.0581827	-0.102699	0.79585	0.999753	-4.49228310614132	-4.32658903837424	0.000367823439072334	0.0900228737638762	1.34859919136541	-1.64974035051182	0.547776255034634	-3.01170475234914	0.00259785136598804	NA	4	3	3	0	2	4	0	0	0	0	0	0	0.879605812105063	1>2	0.0472432497863353	0.447019012081122	
LOC101751821	0.00732853	0	-inf	0	1	1	5.14862397719291	-4.04552595698232	1.74399102910084e-05	0.0161645220688573	1.83099581267417	0.403799088786711	0.364446638339636	1.10797863474982	NA	NA	0	0	0	0	0	0	0	0	28	0	0	0	0.574770311799975	2>1	0.265731750793005	0.999999998133925	
FAM19A5	0.869889	1.51525	0.800649	0.693859	0.09485	0.999753	3.31215245197436	-1.42557914565615	2.95327416231899e-08	8.99398551318804e-05	25.3177480790575	1.52929753768464	0.553524128572703	2.7628380746979	NA	NA	2	3	4	10	4	5	1	127	3	8	1	17	0.718070743377016	2>1	0.139384428264335	0.985251811769924	
PTPN6	42.1879	43.1179	0.0314583	0.0668266	0.87685	0.999753	1.97740917422069	0.514363807089115	0.000203233704546664	0.0710251821889471	90.5003495676978	1.33174865012311	0.505796671961063	2.63297234629813	0.00846412385524219	0.421573795237012	104	74	20	14	2	2	190	66	151	169	134	160	0.978454705745119	2>1	0.00964411189910885	0.0566633225117041	
RALY	5.29985	4.32545	-0.293101	-0.422337	0.2928	0.999753	3.21326348381312	-1.04178229177103	5.25908102307132e-08	0.000140141361562293	28.9304974336295	1.54626452766632	0.554453497462871	2.78880832160295	NA	NA	2	9	4	10	9	3	321	6	4	13	4	4	0.277567423234355	2>1	0.554447996017526	1	
CSTF1	18.9064	19.4801	0.0431238	0.0801403	0.8422	0.999753	-4.75523458030355	-3.47276181165411	2.72645199703798e-07	0.000581225036728557	3.99455384956775	-2.60611101758418	0.542503411907698	-4.80386106406201	1.55634843745594e-06	0.0118453679574771	15	8	10	4	6	4	1	0	0	0	0	0	0.987132814107554	1>2	0.00530411910892528	0.0211071964359721	
UCHL5	42.5554	43.3696	0.0273431	0.0348795	0.93385	0.999753	-2.65134338339943	-3.3513539504298	0.000111450292546857	0.0465862222845864	4.51342693965565	-1.26179972993595	0.553013739574685	-2.28167880766648	0.0225083101506789	0.54907291204108	18	8	16	6	0	0	5	0	2	0	0	0	0.0677977548678965	1>2	0.806191397496967	1	
SPINW	1.03877	0.00800364	-7.02001	-2.50118	0.03605	0.999753	2.96596700537663	-3.37587284788327	5.6201555066629e-05	0.0299526187727599	4.04791655981793	1.05489205789127	0.537445817678734	1.96278773262656	NA	NA	1	0	0	1	0	4	0	0	50	0	3	1	0.0487803069831626	2>1	0.843592540737814	1	
C8ORF22	11.8745	4.01904	-1.56295	-1.671	5e-05	0.0185047	0.00443428619033913	-2.44531319897418	0.933978249514895	1	10.2673855617703	0.0834295384231926	0.513254524654453	0.162550030083731	0.870872733786029	0.989196010472372	2	3	9	21	21	12	12	18	13	0	4	5	0.00393008351139303	2>1	0.969485432304294	1	
CLASP1	6.17871	6.36151	0.0420621	0.0801629	0.8474	0.999753	3.29025612388742	0.635912844144059	5.07437727639723e-09	1.80292624630393e-05	96.5880284090703	1.58302810622746	0.554345725630233	2.85566936486743	NA	NA	24	18	32	20	8	14	1006	4	5	147	17	25	0.984897099295929	2>1	0.00726387542795446	0.0358913172481296	
APOA4	308.328	125.064	-1.3018	-1.87997	0.00015	0.0459058	0.59868028129296	-2.55367471595177	0.32216380204268	1	9.70647376366744	0.386031897342252	0.539867108127946	0.715049854918675	0.474578237710708	0.919319302387356	0	24	6	10	4	1	6	17	22	2	10	2	0.00592243552606624	2>1	0.967749942127567	1	
SIRT4	5.28859	5.09246	-0.054521	-0.0720695	0.854	0.999753	2.44175469791398	-0.880918354773426	1.37380261498529e-05	0.015414065340135	32.2760041068763	0.996862556852531	0.549111875318653	1.8154088477399	0.0694611023988071	0.666395962293611	6	1	30	6	1	22	301	0	6	58	4	9	0.0114930899572337	2>1	0.958810793654809	1	
RBFOX1	0.374555	0.509511	0.443936	0.314383	0.2338	0.999753	-2.40020132529016	-1.35886151949224	2.53952106317724e-05	0.0208221192403125	22.6166467676257	-1.67370566000841	0.508552829786204	-3.2911146334827	0.000997912392531217	0.232201703712576	11	7	4	34	163	32	7	2	5	9	7	14	0.41957085336753	1>2	0.392458846190155	1	
EMC8	26.5738	24.959	-0.0904412	-0.0413533	0.92035	0.999753	-2.87517488917383	0.243019803283074	1.8292592422629e-07	0.000433290539184006	74.2091459615056	-1.42618613765433	0.554443985657933	-2.57228173547945	0.0101030638073748	0.449772415198979	3	197	7	17	537	11	13	6	25	43	6	20	0.53621387564214	1>2	0.295064156677713	0.999999999998465	
STEAP4	5.31932	1.18173	-2.17033	-2.18198	5e-05	0.0185047	3.2554607174203	-4.74811955386786	0.0459467100371506	0.757534388686757	0.593715569827693	0.632518090821256	0.43170318275407	1.4651689310838	0.142874833872924	NA	0	0	0	0	0	0	0	2	4	0	0	0	0.369191138690882	2>1	0.442918677986196	1	
GLUL	254.8	129.786	-0.973233	-2.24197	5e-05	0.0185047	0.394913817933564	-1.49764917642	0.476015805956625	1	21.8197840053768	0.19941980593363	0.554258495523952	0.359795668526676	0.718999942592925	0.975282224750446	16	40	30	22	0	5	10	34	71	17	0	4	0.000910753288832843	2>1	0.97256392359531	1	
SPPL2B	5.59736	6.08714	0.121018	0.233897	0.5597	0.999753	-4.80123893094324	-4.18775179302932	7.46750968334847e-05	0.0368424361652867	1.80246904615329	-1.40697180616446	0.531724493259592	-2.64605415774511	0.00814367772034058	NA	4	12	2	0	1	0	0	0	0	0	0	0	0.683865334423662	1>2	0.175068336090792	0.999106095296923	
DPYSL3	66.5861	74.3453	0.159021	0.292325	0.4755	0.999753	-2.91198922091975	-2.59764357420668	1.65103295169452e-05	0.0161645220688573	9.04475024726459	-1.70669425981448	0.541909166343494	-3.14941020712072	0.00163600375659013	0.271765475493476	33	30	6	23	0	6	0	3	4	0	2	2	0.200855209578253	1>2	0.62854562795699	1	
FAM49A	42.0531	55.6495	0.404156	0.677346	0.09435	0.999753	-3.31405762397555	-3.43430192027585	2.5287649326918e-05	0.0208221192403125	4.16133319268202	-1.82926610402009	0.551767697655935	-3.31528306530325	0.000915503684055346	0.232201703712576	14	16	3	8	0	6	1	0	3	0	0	0	0.422170364672542	1>2	0.389484043872842	1	
FOXJ2	18.9296	19.0662	0.0103702	0.0204371	0.96045	0.999753	-2.80381585669036	-3.11949801240918	6.48160679317301e-05	0.0337011935650883	5.70541128064173	-1.56151779521438	0.552513167708313	-2.82620919550418	0.00471024913033341	0.35701542172951	23	22	0	8	2	5	0	0	5	1	2	0	0.140812913789853	1>2	0.681882756659114	1	
ADAM5P	NULL	NULL	NULL	NULL	NULL	NULL	-2.76870825211425	-2.47201345457638	8.77691689969321e-06	0.0110570748531305	9.89068939370712	-1.77611436376137	0.537751428596908	-3.30285382671241	0.000957062622765703	0.232201703712576	61	6	8	1	7	22	5	0	2	4	0	4	0.183695426621707	1>2	0.643304369709902	1	
MSRB3	89.4409	116.212	0.377747	0.646683	0.11395	0.999753	-2.48000011867296	-2.35583161667483	2.76043410346812e-05	0.0217951608213827	11.0007653623491	-1.52948358201845	0.545812946123113	-2.80221199017413	0.00507535110614136	0.35701542172951	40	33	10	3	14	9	1	0	17	0	0	3	0.135855607419323	1>2	0.690548336210608	1	
LOC101749207	0.184052	0	-inf	0	1	1	8.25180815291326	-0.61078009529865	9.99648005824601e-23	1.06552480940844e-18	39.4814533726489	0.423800870870147	0.371094576616903	1.14202927656271	NA	NA	0	0	0	1	0	0	0	0	602	1	0	0	0.99976939412329	2>1	0.000115302938355155	0.00023060587671031	
HBE,HBE1,HBG1,HBG2	18.5494	59.9823	1.69317	2.04273	5e-05	0.0185047	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
LOC430910	6.69706	0.618884	-3.43579	-2.11375	5e-05	0.0185047	3.92791588683908	-4.0316262358179	0.000100853284594997	0.0457444749148117	2.0105618222537	1.12423716104205	0.520961440132055	2.15800455549469	0.0309274776161376	NA	0	0	0	0	1	0	0	2	23	0	1	0	0.167222400473015	2>1	0.662028149747604	1	
ADH1C	54.7751	28.3564	-0.949846	-1.87692	5e-05	0.0185047	0.13368069606217	2.39817221984279	0.790538162124057	1	335.228724991936	0.148338108356965	0.405351914881456	0.365948951790066	0.714403167807143	0.974679702878042	141	97	289	946	696	130	250	332	344	614	266	202	0.000281487935305155	2>1	0.973533340820456	1	
FBXO8	10.7111	11.5946	0.114352	0.113806	0.79005	0.999753	-2.44122569067065	1.31843008984042	4.96361470923728e-06	0.00813956449011695	154.082046137045	-1.2884151648662	0.552570162976718	-2.33167704518364	NA	NA	49	112	9	108	28	1509	49	5	89	50	95	20	0.0201427067464743	1>2	0.910809996805562	1	
NOL9	71.6691	68.4341	-0.12597	-0.13418	0.53895	0.999753	-4.05679836035941	-3.90343923234773	3.95205782853092e-05	0.0256928900650058	2.43113895928374	-1.80477577470562	0.554082444325876	-3.25723327491705	0.00112503934473337	NA	15	4	2	7	0	2	0	0	1	0	0	0	0.613424431383798	1>2	0.224933000138356	0.999997272815713	
LOC101747479	0.0104245	0.0354777	1.76693	0	1	1	-2.70620268238329	-2.97196477115946	3.86346083964391e-05	0.0256928900650058	6.03767171292892	-1.79242637234767	0.527669553130802	-3.3968728377689	0.000681606332934343	0.232201703712576	4	1	10	20	33	6	1	0	5	2	0	2	0.288554620808664	1>2	0.542224439923367	1	
LOC418414	84.1213	39.7817	-1.08037	-2.01417	5e-05	0.0185047	-3.43840334561254	-4.69315330863769	0.0264597630841264	0.60652605314775	0.560211045674854	-0.787632639700931	0.469196074330209	-1.67868548522129	0.0932133562291497	NA	0	2	2	4	0	0	0	0	0	0	0	0	0.336933329833773	1>2	0.478867493966224	1	
LOC101748795	0	0	0	0	1	1	10.1611125505314	6.69190692067257	5.37340026469905e-42	1.14550146842854e-37	6552.91971608388	1.27810542470542	0.511982807821931	2.49638348237261	NA	NA	11	10	12	2	3	35	80970	4	5	9978	50	12	1	2>1	0	0	
MIR146A	21.9285	1.79575	-3.61014	-4.52806	5e-05	0.0185047	1.25892833244702	-5.02779685941755	0.999999999999999	1	0.0725044453650925	0.188349567896062	0.293952618008425	0.640748053792341	0.521686387709568	NA	0	0	0	0	0	0	1	0	0	0	0	0	0.0450019272975963	2>1	0.860339356143866	1	
LOC100858911	0.0154556	0	-inf	0	1	1	5.28411610106987	-3.97006167779895	6.33404358385755e-06	0.00900194274137836	2.02717393546069	0.405819707707093	0.365090541919123	1.11155908223169	NA	NA	0	0	0	0	0	0	0	0	31	0	0	0	0.613211238031502	2>1	0.234451042296513	0.999999371002383	
SERPINE2	138.188	177.411	0.360461	0.644576	0.1176	0.999753	-2.67602077472007	-2.29640932977314	1.46231949942208e-05	0.01558686354434	11.7355436204158	-1.57180587761943	0.547189033303643	-2.87250983107188	0.00407225408407537	0.347397555440278	41	51	8	15	2	0	0	2	10	2	2	2	0.0953262834550774	1>2	0.745285865854776	1	
LOC427010	0.424945	0.00272202	-7.28645	0	1	1	6.93718393026741	-1.19169382245342	1.28828140115985e-17	9.15452763664188e-14	25.6365402592466	0.518117615280631	0.401133533341986	1.29163376336057	NA	NA	1	0	0	0	1	0	0	0	387	1	1	0	0.991881315333455	2>1	0.00278309684775187	0.00834741832686037	
COBRA1	27.7883	27.7015	-0.00451554	-0.00875243	0.98305	0.999753	-3.09981583959926	-3.57113696606957	3.78406558555224e-05	0.0256928900650058	3.43703082983952	-1.78207075827104	0.54906908647447	-3.24562209414042	0.00117194298052997	NA	6	2	17	9	2	6	0	0	4	0	0	0	0.487007736628818	1>2	0.341088546682751	1	
RAB9A	17.523	17.9906	0.0379942	0.0423894	0.91805	0.999753	2.48413808691799	-1.97346706304497	2.44852268244759e-05	0.0208221192403125	14.0333507627422	1.89826625217166	0.469811132041511	4.04048802318276	5.33400891666963e-05	0.075773820383706	1	4	8	12	2	3	8	4	19	75	18	34	0.483504134769155	2>1	0.34287841728018	1	
ZFYVE9	9.17384	11.1658	0.283493	0.342514	0.4215	0.999753	2.05447075199899	9.98464106767812	8.20794941726071e-05	0.0380384925385139	64358.8781568975	1.21372066669145	0.541378270372757	2.24190872281549	0.0249672721728559	0.556903818453191	26412	28794	31850	15942	11396	45264	449993	7809	16788	160053	36697	29993	0.00128208932199742	2>1	0.972107465042821	1	
SLC26A9	14.8295	4.82752	-1.61912	-2.19678	5e-05	0.0185047	-2.21205865913972	-4.93619741322806	0.514477466056534	1	0.166283204465272	-0.270284133495389	0.319787903241871	-0.845198116487102	0.398000233786886	NA	0	0	0	2	0	1	0	0	0	0	0	0	0.0758698009572879	1>2	0.790958284805998	1	
SLC2A2	10.9537	3.79027	-1.53105	-2.14014	5e-05	0.0185047	0.14591356449244	-3.61122203420796	0.7595352441894	1	3.44376885301079	0.139991134372169	0.539901583537096	0.259290097752696	0.79541141907072	NA	1	6	2	14	0	0	2	4	2	4	5	3	0.0211020423167758	2>1	0.908845830802099	1	
SLC22A13	5.57481	2.50321	-1.15514	-1.65477	5e-05	0.0185047	-0.0730018454447211	-2.57320892252374	0.963520115442849	1	8.82560971668078	-0.0178714295757489	0.504905657372916	-0.0353955819563124	0.971764307594294	0.995437166231517	4	3	10	32	16	1	5	8	17	10	0	12	0.00443277137905646	1>2	0.969070994998817	1	
NARS	46.543	45.3233	-0.0383111	-0.0548272	0.8904	0.999753	-2.83261151287025	-3.3839659057184	5.6201555066629e-05	0.0299526187727599	4.42431696588498	-1.7464621902447	0.544642747392208	-3.2066197495641	0.0013430439355496	0.253778630967307	19	11	10	2	2	2	2	0	2	2	0	0	0.324435439425742	1>2	0.491956915904307	1	
REG4	71.0593	177.236	1.31858	2.59407	5e-05	0.0185047	-3.48251538022243	-4.67705856831376	0.0264597630841264	0.60652605314775	0.600991345516663	-0.619257466355483	0.431945224940835	-1.43364813545584	0.151672699703854	NA	0	0	6	2	0	0	0	0	0	0	0	0	0.28715483603891	1>2	0.544521378579176	1	
VIP	149.795	264.834	0.822098	1.52474	0.00015	0.0459058	-1.12458563925275	-4.16894827612477	0.212912997401309	1	1.69434875239607	-0.645987659674516	0.553993741675131	-1.16605587947839	0.243591853490138	NA	3	4	2	2	0	4	1	0	2	0	3	0	0.022071708608327	1>2	0.90650596974959	1	
LRP12	19.9014	23.6108	0.246578	0.49156	0.2255	0.999753	-3.54838740895082	-3.80280237405819	7.89623528738465e-05	0.0374070986347702	2.8047531049768	-1.53950667354158	0.551496875559957	-2.79150570341574	0.00524634330281225	NA	10	10	6	6	0	0	0	0	2	0	0	0	0.281824977031657	1>2	0.55066535806033	1	
CYP3A4	29.8601	15.2414	-0.970223	-1.64166	5e-05	0.0185047	1.26284155988116	-4.24814216952659	0.137635529803967	1	1.53201720616863	0.641930844635048	0.548735182241188	1.16983722824774	0.242066478841368	NA	2	0	0	4	0	0	4	2	4	0	3	0	0.0193396683695483	2>1	0.912953463035525	1	
ING4	21.1442	20.4718	-0.0466226	-0.0832311	0.8379	0.999753	2.1321244124344	-0.824855179196752	0.000108702874175054	0.0465862222845864	35.006809719575	1.73416383147644	0.432044433363195	4.01385528330283	5.97349786233394e-05	0.075773820383706	13	21	14	26	3	8	19	48	92	67	79	16	0.740764224066478	2>1	0.121928164965215	0.960644942288677	
LOC769852	0.185455	0.0243894	-2.92675	0	1	1	2.31535270306591	-1.42377895675791	4.61313191708889e-05	0.0280979274881431	21.7483202425791	1.64692105858698	0.501096349618622	3.28663551398933	0.00101391975855199	0.232201703712576	8	8	7	20	1	7	145	6	17	31	34	3	0.216878128106217	2>1	0.614004348740287	1	
RTF1	20.1779	22.8329	0.178342	0.369287	0.38935	0.999753	-2.62538439211655	-3.11303124255292	7.60421799077126e-05	0.0368424361652867	5.62055181708962	-1.92690902924157	0.501253065021506	-3.8441840333862	0.000120954214175685	0.0920582524091142	20	12	6	6	8	8	3	0	2	1	0	3	0.663673516094743	1>2	0.191338408320112	0.999823817849564	
FAF	0.307389	0.0163972	-4.22854	0	1	1	4.9442297087947	-4.15316505958399	5.12860123249274e-05	0.0287714529142843	1.56942498229215	0.400407306103441	0.36335231658355	1.10198088144395	NA	NA	0	0	0	0	0	0	0	0	24	0	0	0	0.524503226558299	2>1	0.303990580940235	0.999999999999878	
AMY2A	8.50567	34.5622	2.0227	2.15639	0.0006	0.140418	-5.11341791878604	-4.02998648107959	1.74399102910084e-05	0.0161645220688573	1.66140678816925	-0.398607268382011	0.363709272690981	-1.09595025013476	NA	NA	2	0	0	31	0	0	0	0	0	0	0	0	0.553661229271743	1>2	0.278406821998615	0.999999999893155	
CASP14	9.33469	2.7949	-1.7398	-2.01829	0.0001	0.0331542	1.24367798574635	-4.13072395130278	0.131054694534543	1	1.73043959130192	0.558992282974868	0.543944852873133	1.02766352144386	0.30410813276208	NA	0	0	1	2	0	4	0	0	0	2	7	6	0.0124116826687157	2>1	0.935971896343916	1	
CYYR1	5.10998	11.4131	1.1593	1.83395	5e-05	0.0185047	1.22413510806658	-4.84542768660065	0.645824642405659	1	0.39940783782529	0.351168109762796	0.449753925870633	0.780800543503884	0.434919814348406	NA	0	0	0	0	1	0	1	1	0	0	0	1	0.0157011556571498	2>1	0.923656830021003	1	
