Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_807	bayseq_library_808	bayseq_library_810	bayseq_library_811	bayseq_library_712	bayseq_library_713	bayseq_library_718	bayseq_library_720	bayseq_likelihood	bayseq_FDR	
LOC423301	1.13759	0.541252	-1.07161	-0.856533	0.2269	0.989281	1.21028864144368	0.4240956241636	0.00597281592145853	0.153399097993399	0.478173846590505	40.3112566698769	0.390866295389204	0.221190223585024	0.77641000153688	0	59	23	44	5	212	41	38	0.00376708842307133	0.960715488193228	
RFXDC2	3.64348	3.15992	-0.205432	-0.267029	0.5918	0.999226	0.275445253827585	4.37457738594636	0.478621602982444	1	0.270596651425714	656.567480171788	0.134429789766269	0.0441228590945122	0.450802469771845	845	907	460	818	92	1109	1275	921	0.00696631850350232	0.936809826515168	
PTCH1	3.77108	2.37892	-0.66467	-0.971913	0.0511	0.613849	1.44427279111624	3.24417679031252	0.000288010327719261	0.0149386962684166	1.02088645385131	339.925477990882	0.374076581571096	NA	NA	279	211	95	320	135	407	543	340	0.114720184765532	0.642717562661098	
RAD9A	32.5372	17.9954	-0.854459	-0.953751	0.06545	0.681401	1.07618478092187	4.30397574048295	0.00594076230551253	0.153147068332717	0.591970207064534	702.102505996535	0.398217005324318	NA	NA	580	686	457	396	351	472	383	319	0.176930167610465	0.55254497248835	
UPK1B	0.751855	1.56927	1.06157	0.932797	0.20185	0.971139	-0.754579771306837	0.805450652195616	0.045133164921206	0.533933856709362	-0.545056084751174	49.870853022204	0.372549299440097	0.143455290009813	0.68411661754004	32	74	69	147	1	96	62	48	0.0073293071931758	0.935192888614806	
DLGAP2	1.83757	1.16428	-0.658354	-0.864335	0.08515	0.754122	1.40503340125493	2.53712453905402	0.000456696322785073	0.0216352271314049	1.01497042642829	213.636175521771	0.3696509460731	NA	NA	139	111	93	211	81	242	414	207	0.123212292227683	0.628613028138708	
PTPN14	1.80347	0.892918	-1.01417	-1.36696	0.0059	0.190208	0.936287292626057	3.40400859453614	0.0169635278109002	0.304914406300818	0.781650246445564	355.336297932597	0.318771472866901	0.0142036679896041	0.308777450766824	419	339	175	286	98	463	785	386	0.143815254438289	0.60085405825037	
LOC100858152	13.3285	4.80454	-1.47204	-1.69205	0.0039	0.143692	0.995993563201332	2.53771227172701	0.0112379480178921	0.23349958659398	0.720337841183452	213.85272809644	0.379444668344175	NA	NA	180	300	104	108	81	277	206	224	0.0205208478880172	0.87828802183549	
LOC100858156	83.5091	126.68	0.601183	1.31776	0.05475	0.633121	-0.666824485369141	5.1956712104943	0.0862138823580061	0.754168052567901	-0.605652350110957	1143.15541545163	0.164117079855718	0.000223930239359546	0.0503057828628757	1991	2138	1337	1608	80	1795	1490	1237	0.16883229965907	0.566778864340411	
CDK2	5.45599	11.4305	1.06698	1.95958	0.0522	0.620495	-0.907666198555746	0.439811566269902	0.0233015648027287	0.365280607523019	-0.7350452119987	38.1582701770407	0.296056619628824	0.0130359398130218	0.300988686453366	84	86	50	43	1	52	59	33	0.0412487541437571	0.804075552608545	
FOXS1	6.41225	1.47051	-2.12452	-2.3489	0.00015	0.0135095	1.61255627471534	0.794769179960946	0.000113639087754066	0.00725316788245864	0.9273750903239	88.6171398957554	0.398212811965637	NA	NA	62	37	35	43	50	55	69	56	0.166132289148723	0.571515911725884	
LRRC23	1.51464	3.38929	1.16201	1.18191	0.02085	0.39699	-0.915113057682249	1.61034772019414	0.0224757529383081	0.360130929641964	-0.779256234711681	91.0712690831716	0.256705156685658	0.0024005121171502	0.157748145477162	114	217	127	145	5	97	114	109	0.0770751971615019	0.716357921046581	
PDK4	2.70628	1.64296	-0.720014	-0.940597	0.0676	0.686551	0.672587859782113	2.42278197296679	0.0966590058070752	0.789857182969541	0.671922902015237	165.386639346554	0.197338283356948	0.000661811867543866	0.0881459964580898	199	188	119	143	17	334	439	281	0.133229395187679	0.612749885195595	
LOC100857273	0.0257388	0.205819	2.99936	0	1	1	-1.69166111339678	-2.72168396048671	0.0159996631471073	0.291771444799003	-0.706216119291858	2.95668031000577	0.391289699952761	0.0710993961120091	0.539495155557315	4	9	6	5	0	4	3	0	0.0591177931098601	0.757808443980284	
LOC100857891	0	16.4868	inf	-nan	5e-05	0.00552662	-9.91320022811194	0.80920761691974	2.79966911012608e-24	3.5107850640981e-21	-0.113044505896461	47.4109439818586	0.151801986537527	NA	NA	1	570	0	0	0	0	0	0	0.954966073939161	0.0137129006279232	
LOC101747632	NULL	NULL	NULL	NULL	NULL	NULL	2.94711346162302	0.67877105895712	5.27327727624877e-11	1.62921340543582e-08	1.15801246150434	107.336925406232	0.388581676384028	NA	NA	36	22	11	32	77	38	71	25	0.411230154259413	0.329663294460229	
BHLHA15	NULL	NULL	NULL	NULL	NULL	NULL	-0.41467093912049	4.01993074334136	0.297579712385619	1	-0.409730018668318	511.976001689047	0.157719542539649	0.00938123989760936	0.277396047433926	780	874	527	754	64	696	621	594	0.0545994598348704	0.768939770695251	
LOC101748788	43.9835	14.375	-1.6134	-1.75014	0.0036	0.135274	0	-4.28686883762427	1	1	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0.00496304630742176	0.950036736599714	
C14H7ORF62	NULL	NULL	NULL	NULL	NULL	NULL	-0.555201396789177	3.21097767286698	0.174410014329007	1	-0.492875344924885	293.253297125412	0.243526476181065	0.0429795503774455	0.447597990625558	436	580	342	372	39	378	264	338	0.0585917103261778	0.759033653285539	
GGA2	8.12715	4.48027	-0.859162	-1.0799	0.03795	0.541934	0.299818269632994	3.24099072646911	0.416731403320444	1	0.277326694982642	317.815116566456	0.328825745694068	NA	NA	424	412	219	351	84	381	403	313	0.0441971229536891	0.795017363782649	
FHOD1	0.043166	0.0257286	-0.746522	0	1	1	1.0155629774645	-2.2242632529459	0.00614567346471841	0.154359845173885	0.597033917185314	16.5781584451416	0.34665001286844	NA	NA	11	5	0	6	12	1	4	7	0.0169766471637734	0.89472347749212	
FHOD3	7.31747	5.81898	-0.330579	-0.505335	0.3072	0.999226	1.3101692138143	3.90982310501456	0.000914604628707178	0.0370675693436875	0.956432946669369	511.738253465388	0.364862605929368	NA	NA	347	417	153	573	175	563	1165	497	0.0619867895743479	0.751045370151516	
PSMB3	42.9705	61.0641	0.506979	0.857213	0.11495	0.822825	-0.569606820657357	5.13941763263465	0.140579374420547	0.927249722740478	-0.49579945049935	1096.31862588565	0.221954593595599	0.0254970424620914	0.372416750824819	1807	2391	1074	1480	63	1654	1448	1590	0.0262434905794171	0.853117511212162	
LOC101749123	0	0	0	0	1	1	2.15715849533161	-2.56875530641898	0.000161109597166044	0.00940968326681023	0.902908536136104	11.4319675139409	0.373445266905648	0.015615510329611	0.312928082361622	1	3	3	1	8	4	4	10	0.129781290532046	0.618729451035943	
VPS13A	4.91405	4.39892	-0.159765	-0.192334	0.6927	0.999226	0.603475414440688	3.89854164864885	0.124220895858196	0.897789037691666	0.568753192271432	470.953850121794	0.224524507836479	0.0113044097072314	0.289056372599189	659	431	281	535	64	734	1216	776	0.075448539031697	0.719755536215315	
VPS13C	8.03652	7.20353	-0.157868	-0.194899	0.6897	0.999226	0.393502474033636	5.42171325369674	0.311553781397849	1	0.404893679589871	1353.93308515235	0.1224985218872	0.00094876681385281	0.100685695374392	1570	1620	1117	1536	177	2329	2689	2270	0.0174571100074022	0.890649368804967	
VPS13B	3.61512	1.9992	-0.854623	-1.26934	0.01025	0.262369	0.868968487903817	4.87471567287069	0.0259068977615048	0.389755290387974	0.755361430334015	955.167917297191	0.299045495805473	0.0115399674826817	0.289263047767045	1032	1045	513	816	249	1231	1968	1201	0.272521131142418	0.448392665295832	
TMEM164	36.0766	33.3564	-0.113101	-0.130735	0.7935	0.999226	0.799459274665134	5.04474083173848	0.0402216969246491	0.501461270766236	0.688087665644472	1066.38170208619	0.30772106036783	0.0253467958372103	0.371769903256696	1431	1113	734	577	254	1648	2131	1332	0.0355209554136365	0.821678795349497	
FOXN3	6.9924	4.61566	-0.59925	-0.922108	0.0667	0.684369	0.746716531118655	5.09133893408653	0.054944907469716	0.59944500380727	0.664498940069129	1105.20650891952	0.290709592150799	0.0222669775656498	0.358969410932536	1303	1134	762	877	273	1530	1698	1728	0.0966633516083593	0.676949983257343	
LOC769444	0.00945645	0	-inf	0	1	1	4.05435125755527	-3.7489181979989	0.00682105151188606	0.166564921111554	0.559241678433226	2.66850018020171	0.291550097326925	0.055089881351576	0.48818891783789	0	0	0	0	2	0	3	2	0.215554742503306	0.506909091287511	
TAP2	12.6592	3.09784	-2.03085	-2.22165	0.0001	0.0100722	1.67612016800123	3.02361330466176	3.1924983876465e-05	0.00252065483806845	0.988463095809673	308.639251653874	0.395429867223951	NA	NA	170	200	134	183	147	201	632	137	0.775754659609209	0.0950611674916552	
LOC416592	NULL	NULL	NULL	NULL	NULL	NULL	-0.616789927263737	2.85054471583598	0.129845757650659	0.907260524941578	-0.58942771618202	226.188703656196	0.197608087710554	0.00285613653884002	0.173352455610016	343	427	252	347	26	326	224	235	0.22054730162632	0.500085289552518	
C13H5ORF41	4.96012	3.02537	-0.713261	-1.08891	0.0302	0.479091	0.633999543548618	4.36944005443376	0.103847284964082	0.815673259767309	0.602936363132683	662.55375276907	0.200889192654591	0.00268796041176138	0.170316260815562	757	765	449	634	122	987	1421	1021	0.26179259016125	0.464411633685825	
COBLL1	14.8533	10.9711	-0.437072	-0.616147	0.2175	0.984056	0.427550153026378	5.74400685475805	0.270596156521268	1	0.420521353442975	1698.30772411012	0.206383003888265	0.0415922097540226	0.443095626212506	1809	2305	1475	1600	255	2310	3455	3006	0.0135330043158965	0.906738557057999	
KCNAB2	11.9532	22.6987	0.925208	0.621927	0.22075	0.987401	-0.772366320853291	4.90004908880898	0.0451938385334825	0.534355102527332	-0.551614989753056	921.386361917159	0.360168343093763	0.125634092261819	0.651369079639024	2822	765	595	1937	30	1542	1448	932	0.00581480575936085	0.942180608681249	
ADRA2B	0.710578	0.0780579	-3.18638	-1.80819	0.0011	0.0585131	1.13152405042737	-2.56273211258767	0.00941962542350444	0.206359472640025	0.725877074565732	12.4092488843346	0.368156666280064	0.0486492699805355	0.466705529148401	4	6	2	2	9	3	5	3	0.087523536425917	0.696673413471972	
SYT2	5.39879	11.3309	1.06956	1.36623	0.01045	0.264309	-1.05132573489132	4.39445592187776	0.00632289302374852	0.157627611411171	-0.476863598086801	641.183376544673	0.395821688135016	NA	NA	2972	127	125	1514	9	586	1269	656	0.0010285390321532	0.970202161383238	
SYT7	7.7557	14.4325	0.895991	1.23755	0.01345	0.31393	-0.841236228897709	4.04279522033185	0.0300664298067266	0.423632617726237	-0.683091592952012	507.258084130378	0.305307808798274	0.0252610851382279	0.371769903256696	938	741	457	1231	24	1028	580	381	0.0412515184251644	0.804009592824644	
SCHIP1	300.592	449.235	0.579664	0.734977	0.21225	0.981168	-0.547588052360914	8.27936911617117	0.15792665685668	0.965358232797648	-0.477346932106429	9773.91457307439	0.215662962944955	0.0268705502097768	0.37868961238421	16781	18323	12296	10302	901	13182	11230	13309	0.00384287064425412	0.960416709273532	
MARCO	1.03297	0.517135	-0.998183	-0.943074	0.05855	0.651397	1.0096775572483	-0.493524466711171	0.0264439124406904	0.393392411312378	0.753706461179814	21.6902129098429	0.350862956912954	0.0317017959291241	0.404397846385516	21	25	6	22	4	29	73	31	0.0261025156084558	0.853690796449148	
C22ORF32	48.8332	67.9741	0.477123	0.743086	0.1368	0.872465	-0.538402331072534	5.33425304942747	0.16455988835023	0.977168118112078	-0.478266973722308	1260.11679843621	0.188432723989839	0.0111446199264348	0.289056372599189	1861	2196	1532	1858	87	1938	1599	1749	0.0409230926334696	0.804994246490393	
SMPD1	58.5836	17.7443	-1.72314	-2.03937	0.0025	0.106388	1.47292165856555	4.88293179141003	0.000198950049602724	0.0110161484608594	0.759535667543253	1034.30909931722	0.398065942451907	NA	NA	750	748	587	468	563	726	597	442	0.143946786070607	0.600563248811519	
SMPD3	20.6057	14.7338	-0.483913	-0.738825	0.13535	0.871043	0.464322997378042	6.35826532320474	0.23141395521966	1	0.473650996329298	2596.59405452232	0.120642999808864	8.63505863481204e-05	0.0266730793330319	2779	3182	1997	2978	372	5041	4660	4225	0.0879867130209911	0.695518612113316	
SMPD2	39.83	9.59949	-2.05282	-1.82202	0.00715	0.212404	1.49456173974431	4.24696889188433	0.000165641116903019	0.00959548187537654	0.751614634859575	690.936760675488	0.397559521867314	NA	NA	426	600	335	345	386	466	306	301	0.355850627813502	0.369269108650412	
BRIP1	1.71249	1.56835	-0.126842	-0.163466	0.73935	0.999226	0.389606161383472	2.08677642241864	0.334239703423317	1	0.374554322977353	133.715625171371	0.168478073755698	0.0262047695245266	0.376038057303687	168	164	92	164	18	227	251	232	0.0167854259643779	0.895267840126524	
ENO2	167.344	280.114	0.743195	0.957068	0.07885	0.735358	-0.767569239370644	8.30072441246353	0.0480781000955268	0.558240162220283	-0.602303523438661	9879.38622972068	0.325482041447669	0.0642419579114276	0.520251586119792	17901	11476	9339	24789	334	17714	14015	10396	0.00338261270437853	0.962288268065335	
MCL1	39.8055	14.341	-1.47282	-1.1646	0.0423	0.565617	1.0257950778416	6.18489113512288	0.00862603880251457	0.194708321143308	0.709958385285871	2395.07982576991	0.380651538568368	NA	NA	2221	2058	1387	2039	951	2805	2556	1771	0.682437832891084	0.1360566770761	
GBP,LOC415922	15.8671	7.95125	-0.996786	-1.45098	0.00825	0.227973	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
MAP10	1.31968	2.12979	0.690522	0.654164	0.1773	0.935041	-0.724938666270763	1.23608881422842	0.077832873797276	0.711204973686382	-0.6140026626869	70.5850953524664	0.260489165862521	0.0184175912449461	0.337860180195137	133	119	87	105	5	90	64	105	0.0279010335105221	0.846153824421406	
NKAIN2	72.6627	60.6981	-0.16502	-0.128406	0.8605	0.999226	1.59601049949264	6.07155068704273	5.69107912064456e-05	0.00405760617705354	0.948302450393602	2250.33602457289	0.394498193906534	NA	NA	1673	2039	973	789	1096	1695	2056	2196	0.271826086817045	0.450053376140564	
MAP1B	77.7255	66.5428	-0.14742	-0.216602	0.7704	0.999226	0.518033825742168	8.23576242573308	0.181337404228573	1	0.501226670023741	9552.72850456853	0.217544845405168	0.0212217801535829	0.354654034157347	11644	8280	6839	12476	1571	14973	20251	14415	0.00225544591249484	0.966947955734732	
IGSF9B	4.22113	3.06973	-0.45952	-0.663573	0.17495	0.934128	0.812542836199891	4.36873337908732	0.0368186602165875	0.480649233617399	0.662657441231939	684.425623896318	0.338303266399176	NA	NA	905	677	339	578	202	868	1209	691	0.0496717568199865	0.781176448381332	
UNC5B	6.4506	4.89396	-0.398431	-0.601941	0.2299	0.991767	0.51594135035605	3.19037255584261	0.185397735662721	1	0.467973215217037	295.13385842442	0.232585292041727	0.0442146763782045	0.450802469771845	340	365	163	371	55	463	634	367	0.0353590232991365	0.822271409937579	
UNC5C	3.70222	2.47159	-0.582952	-0.849051	0.09375	0.777686	1.54127308101642	2.36303548386763	0.000134239180160196	0.00822294351708253	1.05844657832774	195.178522888506	0.380248565980679	NA	NA	145	112	49	179	80	185	367	197	0.0866367503683539	0.698307288027887	
UNC5A	9.07482	16.998	0.905429	0.512762	0.3286	0.999226	-0.971217732186314	4.68294507954813	0.0135161426710091	0.263138931014221	-0.859549673431015	800.420790141896	0.232211436256179	0.000214259385695113	0.0494167847167208	1447	1817	1023	1063	62	1229	827	565	0.471628962368265	0.281663302174086	
C1H7ORF60	4.42726	3.69796	-0.259683	-0.395318	0.4486	0.999226	0.258108933021255	3.3987115250296	0.51920075958301	1	0.289864475114942	328.935136442994	0.145781384347493	0.0467729493832679	0.460226665774612	380	470	269	400	34	563	666	564	0.0118366115031149	0.913706931565943	
RPL18A	198.505	313.977	0.661484	1.43923	0.0451	0.576345	-0.741789683157733	6.32369280476978	0.056845343850375	0.607433102858292	-0.679713229812475	2512.96194502597	0.175526607507891	0.000107758830964045	0.0315934281019671	3988	6011	2693	3401	213	3005	3088	2899	0.17905988958482	0.547658136397447	
CLEC18A	38.0168	5.22848	-2.86217	-2.89096	0.00015	0.0135095	2.76983695586776	3.8841516890235	3.63982629870385e-11	1.14108554464366e-08	0.78408585102265	586.704396527867	0.365692249044312	NA	NA	122	246	183	115	414	262	149	197	0.411339688979034	0.328866043533212	
EPB41L5	6.38621	3.94074	-0.696495	-0.820786	0.09615	0.783844	0.895905747697224	2.91085374637483	0.0226124440535741	0.361358382559289	0.763033343293812	251.443716365128	0.299864425803143	0.0109404730577322	0.286784818088089	236	287	102	270	62	336	583	318	0.100549267113434	0.667801626053818	
ACSS2	17.7211	23.4938	0.406817	0.605232	0.22115	0.987517	-0.427814123238733	5.43868231457386	0.270007719757574	1	-0.380609981977008	1357.53235921295	0.167751128207751	0.0232746081842526	0.36584998106145	2569	2431	1260	1719	115	2215	1840	1712	0.0161060329580014	0.897491046445545	
LOC101752285	0.284673	0.873834	1.61805	1.35508	0.082	0.741962	-1.22509646203045	-2.14210268950898	0.0184849000379748	0.32220858463577	-0.608942468628294	5.10437211208516	0.397628623685634	0.125661871464455	0.651369079639024	20	5	9	4	0	8	5	3	0.0162957700092764	0.896851209197879	
LRRN4	1.9132	1.25847	-0.60432	-0.719563	0.15195	0.904368	0.592550070950308	1.92804284085852	0.150259073856048	0.939912833469258	0.572313898839228	117.581228030992	0.221314262485094	0.00971030200191361	0.279627579680164	106	118	86	164	13	237	274	202	0.0426949814815051	0.800239428871604	
WNT4	7.0812	12.5353	0.823926	1.0069	0.0443	0.57257	-0.847568981099362	2.93113533781874	0.0336722640862174	0.452031061580593	-0.54919008722846	236.533361968085	0.37509199015047	NA	NA	339	320	587	105	19	284	213	302	0.0546854421755066	0.768753663108918	
ZBTB7C	3.30585	1.75846	-0.910707	-1.1561	0.02005	0.389157	1.0641920530542	1.39952244130586	0.00823473758834073	0.189501405552982	0.783875854326544	92.9166542177821	0.364553506254147	0.0315365993372084	0.40378985591046	53	68	34	138	26	127	251	82	0.0146166679862792	0.902593947678675	
PCNT	2.50568	1.74964	-0.518144	-0.789865	0.10925	0.813546	0.454563553935284	4.310845294111	0.24118890783194	1	0.432431324016852	635.776401920998	0.207078882569605	0.0367757909448738	0.422408786032156	778	894	397	668	115	975	1223	889	0.0262616800489599	0.853009483220537	
PCNX	NULL	NULL	NULL	NULL	NULL	NULL	0.434266783374377	4.45876249251891	0.264004609044658	1	0.415748237327765	698.903398677653	0.20937893211929	0.0470748747818083	0.461349078785487	915	860	399	884	110	1070	1584	949	0.0219536119407004	0.871267827320112	
NAT	NULL	NULL	NULL	NULL	NULL	NULL	1.06052317508661	0.645016880351235	0.0125617255751187	0.250505954920843	0.804994820092876	47.2937340818707	0.345350792344661	0.0197560893783195	0.349293751001916	57	51	13	44	6	52	163	105	0.0241753352761153	0.859703224836889	
GBX2	0.216631	1.70639	2.97763	1.6917	0.08785	0.758308	-2.61702634822375	-0.646021630279604	7.8491826314917e-08	1.23035937748632e-05	-0.837571342205479	16.3568418048812	0.375628889035791	NA	NA	121	3	2	34	0	6	14	4	0.0603221091870118	0.754792501797833	
ADAM12	3.55177	3.2513	-0.127521	-0.175158	0.71835	0.999226	0.673252025546109	3.71169735593192	0.0834220980450249	0.742022809383	0.590962799073087	432.202002711505	0.297478601531777	0.0469697949560495	0.460852815172856	422	597	317	305	106	621	730	566	0.028511740219649	0.843811095491954	
PCSK9	0.136691	0.298329	1.12599	0	1	1	-0.848085308385064	-0.819311956997396	0.030906230558747	0.429503926369863	-0.561944038027452	14.5777301345603	0.385889759050961	0.145329196296892	0.687046853660464	49	13	16	25	0	31	16	11	0.00627797465724274	0.940026842103008	
PCSK6	8.72775	3.59282	-1.28049	-1.43267	0.0055	0.183211	0.999801356277105	2.95654471559371	0.0111257311055026	0.231619468463969	0.807211511554588	269.59549337484	0.338264030432604	0.0170172121167919	0.328824416424366	315	235	138	191	85	357	471	297	0.113866463392205	0.644804341921345	
SETBP1	3.6344	1.86666	-0.961258	-1.43099	0.0044	0.155388	1.36241772411977	4.69205692989121	0.000563288405320124	0.0251725648416581	1.05168422303001	863.423225223392	0.348101733143553	NA	NA	701	427	441	767	296	1302	1437	1023	0.248423354665992	0.475115169731491	
DYNC1I2	50.4455	21.1806	-1.25198	-0.435315	0.2421	0.999226	0.232834897141406	5.48666070987265	0.548698929857182	1	0.245364436292974	1415.02470132967	0.123445794120683	0.0468527401640135	0.460487897361992	1833	1969	1173	1580	182	2265	2810	2121	0.00372957360642584	0.960886226099217	
GRID2IP	NULL	NULL	NULL	NULL	NULL	NULL	-0.617982330473223	3.41192752828638	0.115927304956087	0.870421490712407	-0.541024888594269	329.070718430847	0.223432324586247	0.01545973904799	0.312928082361622	693	600	376	347	27	472	475	336	0.130503592095616	0.616037742084078	
TMC6	NULL	NULL	NULL	NULL	NULL	NULL	0.786523837193901	2.57938261106501	0.0408037727588674	0.504263668216543	0.523866549212642	230.454689136319	0.396041047990442	NA	NA	241	194	162	170	102	180	145	153	0.114367666678103	0.64388033000934	
TMC7	4.89642	7.91333	0.692558	0.95833	0.06085	0.664087	-0.902378342993551	3.92167295688411	0.0236541603885535	0.368072548294294	-0.662665120537831	473.833579556956	0.334892030522452	0.0478449962770411	0.463135280134447	1278	956	455	487	47	372	288	751	0.0236649040990842	0.862491833301015	
LOC101750428	42.0217	15.9253	-1.39981	-1.41534	0.0085	0.233366	0.43854265526821	3.51360676179646	0.244026476589146	1	0.362723779651122	391.44385460612	0.369139074990285	NA	NA	437	583	275	330	126	451	379	324	0.0338916594374193	0.826515246145953	
LOC101749375	NULL	NULL	NULL	NULL	NULL	NULL	1.27060141495729	-0.311735996496349	0.00221242023225685	0.0738096627719116	0.819621918984385	36.2873484436921	0.398124359463441	0.0395221916725257	0.434618481596535	34	37	3	15	17	36	55	26	0.0109639089091899	0.917071411628836	
LOC100859731	0.314844	0.0801914	-1.97312	0	1	1	1.71640403181194	-2.53056380685721	0.0227456411480154	0.361589543619233	0.470074551743166	3.14441929887731	0.35820979474049	0.189422850858964	0.741902416178926	6	0	0	3	0	4	18	8	0.0135675440264517	0.906669444975452	
LOC100859737	978.956	491.638	-0.993646	-1.85081	0.04335	0.570021	0.821155571009251	6.9831928071646	0.0347109221438694	0.461038902344554	0.583621174386267	4119.71570361404	0.378158743712609	NA	NA	3863	3343	2688	4612	1495	5493	3147	3792	0.0577325397421834	0.761245534518955	
LAMB1	10.4587	6.99441	-0.609714	-0.434232	0.37585	0.999226	0.545274229682555	4.92820396178252	0.161082585280763	0.971507109401273	0.531594058290828	967.538829082067	0.1801724621701	0.00317287356979446	0.178776439772979	1290	1083	540	1124	154	1781	1903	1479	0.0920306940254223	0.686262731101895	
ATP7B	8.70545	4.54775	-0.936764	-0.979666	0.06635	0.683662	0.400669533904004	4.21401968990969	0.306312612501396	1	0.400972266429531	584.024606319974	0.176298989233454	0.0229426816294883	0.364111542165691	818	683	337	762	71	1111	1190	936	0.0302260980165059	0.83841292128897	
